Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108476813741931,0,281760.0371814669,0,32170.30913622685
Session Window -> DummyLatencySink,50000,1,1,1,1,1108477232541267,34133.94974309498,0.0,32523.961936934305,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108486821165009,0,281709.9984482956,0,32481.88494769644
Session Window -> DummyLatencySink,50000,1,1,1,1,1108487247740195,34121.721484066424,0.0,32404.778306742708,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108496823008363,0,271568.77491103654,0,32802.006598826076
Session Window -> DummyLatencySink,50000,1,1,1,1,1108497266454224,34206.31177153337,0.0,32586.636140252194,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108506840155416,0,269604.4231381692,0,32777.70624155139
Session Window -> DummyLatencySink,50000,1,1,1,1,1108507280641060,34251.09329712322,0.0,32614.270058888702,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108516853046578,0,268630.79835468676,0,32564.546170246496
Session Window -> DummyLatencySink,50000,1,1,1,1,1108517281625218,34751.60391797252,0.0,32977.88278029586,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108526862691968,0,282258.8305705556,0,33294.9349702803
Session Window -> DummyLatencySink,50000,1,1,1,1,1108527288053569,33828.64756982859,0.0,32192.354201250004,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108536868903500,0,281364.3127499344,0,32590.555297892108
Session Window -> DummyLatencySink,50000,1,1,1,1,1108537314915662,34298.29863155334,0.0,32692.276098493006,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108546881506058,0,279467.31904968474,0,32345.90727514438
Session Window -> DummyLatencySink,50000,1,1,1,1,1108547340489354,34049.17039476925,0.0,32435.010770330104,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108556887357269,0,274441.01815702015,0,32286.016258920372
Session Window -> DummyLatencySink,50000,1,1,1,1,1108557359369630,34064.389179549,0.0,32469.338091645608,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108566895169443,0,273663.4989953097,0,31954.42150553214
Session Window -> DummyLatencySink,50000,1,1,1,1,1108567376605174,34374.65595471954,0.0,32738.44612538356,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108576898937264,0,288731.36476057704,0,32785.356147414626
Session Window -> DummyLatencySink,50000,1,1,1,1,1108577388451873,34529.86701386813,0.0,32811.81971051807,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108586901717481,0,289298.4608214071,0,32500.914528649282
Session Window -> DummyLatencySink,50000,1,1,1,1,1108587417052927,34284.46556750804,0.0,32672.696818104025,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108596914677101,0,291350.9299674796,0,32637.53990994458
Session Window -> DummyLatencySink,50000,1,1,1,1,1108597435645277,34252.36627073306,0.0,32622.674752627623,0.0
