Latency Sink,1,26,Latency Sink,0.8,40000,1,1,1,1,5258085610774332,3820435.4626340372,0.0,40259.142039836035,0.0
Source: Bids Source,1,27,Source: Bids Source,0.8,40000,1,1,1,1,5258095534829711,0,40443.67155413798,0,39960.312092221284
Mapper,1,27,Mapper,0.8,40000,1,1,1,1,5258095555637764,334500.8710011395,334502.54502467084,39960.695455210465,39960.89544017409
Latency Sink,1,27,Latency Sink,0.8,40000,1,1,1,1,5258095614445752,3680038.9775215513,0.0,40002.725405291734,0.0
Source: Bids Source,1,28,Source: Bids Source,0.8,40000,1,1,1,1,5258105536538038,0,40313.14158794255,0,39963.667991662594
Mapper,1,28,Mapper,0.8,40000,1,1,1,1,5258105557928525,339764.3535091439,339766.05387399264,39961.40303453813,39961.60302304288
Latency Sink,1,28,Latency Sink,0.8,40000,1,1,1,1,5258105617308193,3911860.8093783115,0.0,39967.24235691872,0.0
Source: Bids Source,1,29,Source: Bids Source,0.8,40000,1,1,1,1,5258115536831392,0,40939.2867458555,0,39969.649361267955
Mapper,1,29,Mapper,0.8,40000,1,1,1,1,5258115559712634,317743.7681955355,317745.36095201416,39895.21766349888,39895.417646544214
Latency Sink,1,29,Latency Sink,0.8,40000,1,1,1,1,5258115621675846,3557515.7520282962,0.0,40113.98433998622,0.0
Source: Bids Source,1,30,Source: Bids Source,0.8,40000,1,1,1,1,5258125537742527,0,40581.601928785865,0,40027.542710104004
Mapper,1,30,Mapper,0.8,40000,1,1,1,1,5258125562534973,336803.0952050642,336804.76158194104,40421.51299038262,40421.71298104639
Latency Sink,1,30,Latency Sink,0.8,40000,1,1,1,1,5258125632526869,3862079.1307791,0.0,40889.200963772986,0.0
Source: Bids Source,1,31,Source: Bids Source,0.8,40000,1,1,1,1,5258135538336728,0,40471.36722827508,0,39997.11064717188
Mapper,1,31,Mapper,0.8,40000,1,1,1,1,5258135564493009,336418.305512209,336419.99351173494,39859.54548558879,39859.74548330823
Latency Sink,1,31,Latency Sink,0.8,40000,1,1,1,1,5258135688918910,3914975.9779142663,0.0,39838.23096914803,0.0
Source: Bids Source,1,32,Source: Bids Source,0.8,40000,1,1,1,1,5258145539327138,0,40525.17787393234,0,39920.26577318941
Mapper,1,32,Mapper,0.8,40000,1,1,1,1,5258145565823648,327085.8556376823,327087.504596669,39664.62693383787,39664.826897675826
Latency Sink,1,32,Latency Sink,0.8,40000,1,1,1,1,5258146531299260,3914147.1318616644,0.0,40066.03860614324,0.0
Source: Bids Source,1,33,Source: Bids Source,0.8,40000,1,1,1,1,5258155541677790,0,40892.84489322164,0,40067.26266083503
Mapper,1,33,Mapper,0.8,40000,1,1,1,1,5258155568914474,316944.99825359957,316946.56910016143,40351.96273572089,40352.1627285975
Latency Sink,1,33,Latency Sink,0.8,40000,1,1,1,1,5258156541759123,3849301.3344329577,0.0,40165.74117659414,0.0
Source: Bids Source,1,34,Source: Bids Source,0.8,40000,1,1,1,1,5258165543390854,0,40797.200912962544,0,39999.50436585871
Mapper,1,34,Mapper,0.8,40000,1,1,1,1,5258165570629316,320209.43462330155,320211.03566246945,39998.32789826189,39998.52788890142
Latency Sink,1,34,Latency Sink,0.8,40000,1,1,1,1,5258166548183100,3958318.823620896,0.0,39996.520326729486,0.0
Source: Bids Source,1,35,Source: Bids Source,0.8,40000,1,1,1,1,5258175544723295,0,40082.39075798154,0,39995.64064495035
Mapper,1,35,Mapper,0.8,40000,1,1,1,1,5258175572682220,354651.64861014986,354653.41392008495,40179.21874919518,40179.41874480867
Latency Sink,1,35,Latency Sink,0.8,40000,1,1,1,1,5258176552671670,3988235.414288064,0.0,40175.84746000734,0.0
Source: Bids Source,1,36,Source: Bids Source,0.8,40000,1,1,1,1,5258185547048195,0,40062.59804351426,0,40047.4866134296
Mapper,1,36,Mapper,0.8,40000,1,1,1,1,5258185574608070,362590.3026759057,362592.1166250911,39977.57983563593,39977.77983353395
Latency Sink,1,36,Latency Sink,0.8,40000,1,1,1,1,5258186555931153,3896803.144533091,0.0,39994.596546031484,0.0
Source: Bids Source,1,37,Source: Bids Source,0.8,40000,1,1,1,1,5258195547950652,0,40651.04517040358,0,39907.288406298474
Mapper,1,37,Mapper,0.8,40000,1,1,1,1,5258195576260178,321246.5847505783,321248.19556627265,39883.69621322609,39883.896200671436
Latency Sink,1,37,Latency Sink,0.8,40000,1,1,1,1,5258196560365684,3936851.634181801,0.0,40172.82042559561,0.0
Source: Bids Source,1,38,Source: Bids Source,0.8,40000,1,1,1,1,5258205549755686,0,40963.46691614492,0,40070.95016277604
Mapper,1,38,Mapper,0.8,40000,1,1,1,1,5258205578468168,319015.4353870278,319017.0351434924,39882.13756073989,39882.33755641504
Latency Sink,1,38,Latency Sink,0.8,40000,1,1,1,1,5258206564720025,3897330.4416700387,0.0,39999.493362417124,0.0
Source: Bids Source,1,39,Source: Bids Source,0.8,40000,1,1,1,1,5258215550434930,0,40809.67163548676,0,39889.99757749776
Mapper,1,39,Mapper,0.8,40000,1,1,1,1,5258215580453495,316190.84678557824,316192.4291599932,39962.82659651935,39963.02659014661
Latency Sink,1,39,Latency Sink,0.8,40000,1,1,1,1,5258216568147835,3800426.2948886575,0.0,40152.84480782805,0.0
Source: Bids Source,1,40,Source: Bids Source,0.8,40000,1,1,1,1,5258225551332782,0,40051.15180181831,0,39959.156705606874
Mapper,1,40,Mapper,0.8,40000,1,1,1,1,5258225582367052,366545.61702925677,366547.43826986675,40251.92459847562,40252.124596610374
Latency Sink,1,40,Latency Sink,0.8,40000,1,1,1,1,5258226572648962,3968482.752850094,0.0,40076.84990715139,0.0
Source: Bids Source,1,41,Source: Bids Source,0.8,40000,1,1,1,1,5258235552617851,0,39998.62224412396,0,39997.211036308894
Mapper,1,41,Mapper,0.8,40000,1,1,1,1,5258235584277350,359438.6511795036,359440.44837275945,39996.814541698826,39997.01452577153
Latency Sink,1,41,Latency Sink,0.8,40000,1,1,1,1,5258236576689289,4024820.8557187696,0.0,40105.97179248744,0.0
Source: Bids Source,1,42,Source: Bids Source,0.8,40000,1,1,1,1,5258245553638227,0,40019.04387056386,0,39959.41245080645
Mapper,1,42,Mapper,0.8,40000,1,1,1,1,5258245586668965,351366.5875828584,351368.3734086785,39349.21990087549,39349.41989386112
Latency Sink,1,42,Latency Sink,0.8,40000,1,1,1,1,5258246579500878,3859196.8059157454,0.0,39903.052176697645,0.0
